districts;population;bashkirs;russians;tatars ;chuvashs ;mariis ;ukrainians;mordva;udmurts ;belarusians ;others
Абзелиловский;38856;32936;4170;1181;52;35;168;94;16;30;174
Альшеевский;46690;12364;11172;18927;1051;79;2492;184;10;89;322
Архангельский;20603;8508;8253;2238;612;21;88;11;11;302;559
Аскинский;23458;14842;2780;5610;18;114;15;5;36;5;33
Аургазинский;38962;4173;1888;18773;12527;28;776;709;1;4;83
Баймакский;58556;46583;8216;2863;170;29;251;118;9;15;302
Бакалинский;32286;2716;6995;20093;1173;956;67;183;5;15;83
Балтачевский;24895;5500;532;14728;4;3452;5;1;659;3;11
Белебеевский;16623;670;6440;3953;3942;473;563;318;10;67;187
Белокатайский;22069;8909;11837;1068;43;17;67;9;10;14;95
Белорецкий;32968;18941;11952;1400;119;78;230;44;22;44;138
Бижбулякский;27781;2896;2887;9722;10428;19;155;1503;4;83;84
Бирский;18949;815;9290;2598;31;6054;76;18;10;18;39
Благоварский;24272;1899;4263;14520;83;100;1321;31;7;45;2003
Благовещенский;46670;3491;30324;8232;286;3364;414;94;53;102;310
Буздякский;30515;8001;2142;19756;130;75;209;28;3;16;155
Бураевский;29728;11738;547;15102;8;520;20;1;1737;3;52
Бурзянский;14186;13525;409;215;16;3;8;0;1;2;7
Гафурийский;35695;14816;8781;8448;3192;25;266;17;7;17;126
Давлекановский;38706;10455;14302;8764;1337;50;2474;563;8;211;542
Дуванский;29887;5447;19239;4240;54;61;136;596;15;17;82
Дюртюлинский;56328;13652;4840;33262;168;3968;161;47;57;23;150
Ермекеевский;18155;2057;1803;9877;2912;11;91;793;541;4;66
Зианчуринский;27169;17843;4989;3511;410;5;94;59;5;10;243
Зилаирский;18704;9048;7854;728;733;3;189;22;20;11;96
Иглинский;43615;7789;21265;8249;2091;574;538;121;22;2477;489
Илишевский;36308;22946;768;11007;22;1014;38;2;457;5;49
Ишимбайский;25766;17965;4706;1671;1197;8;78;23;1;70;47
Калтасинский;27705;885;4932;5855;25;13018;101;18;2807;14;50
Караидельский;30276;10524;6683;11109;42;1805;40;3;18;12;40
Кармаскалинский;45680;10471;7449;21756;4779;31;378;609;5;61;141
Кигинский;18899;6791;1062;10841;19;25;57;4;4;17;79
Краснокамский;42669;10273;6887;16660;207;7823;214;56;272;64;213
Кугарчинский;31541;15079;10022;5118;458;11;280;435;3;24;111
Куюргазинский;23454;8401;8249;3901;1957;13;475;144;5;21;288
Кушнаренковский;28508;1582;4149;22232;64;51;50;19;303;5;53
Мелеузовский;26509;9154;11646;3936;736;22;313;250;10;27;415
Мечетлинский;23408;12042;4180;6983;14;78;41;3;9;6;52
Мишкинский;28603;1523;1884;5296;16;19827;19;7;8;3;20
Миякинский;30274;7708;1899;16731;3285;21;549;21;2;12;46
Нуримановский;22985;6574;5017;8735;105;2267;111;20;6;63;87
Салаватский;26382;15533;2907;7635;47;45;65;44;9;15;82
Стерлибашевский;21697;5935;1327;13534;589;3;118;122;0;8;61
Стерлитамакский;33592;4537;12054;8946;4942;46;1515;1060;12;37;443
Татышлинский;26042;13967;369;5487;10;332;9;0;5818;2;48
Туймазинский;30654;9588;2411;17252;643;142;82;171;15;12;338
Уфимский;52712;4381;28917;14981;1418;358;1303;698;43;272;341
Учалинский;32000;24122;2953;4728;37;22;35;6;9;22;66
Федоровский;19712;2772;4251;6895;2384;14;370;2878;5;8;135
Хайбуллинский;30127;19888;7045;1332;380;83;1041;40;111;27;180
Чекмагушевский;32659;6107;520;24695;1015;173;75;15;2;6;51
Чишминский;45437;5760;8142;27618;254;59;2132;1087;12;96;277
Шаранский;23838;1525;2529;12160;2687;4826;30;14;6;5;56
Янаульский;48572;17611;6170;14199;125;3408;110;24;6757;28;140
Уфа;1079765;122026;585337;291190;12312;10352;28107;5817;1178;8420;15026
Белебей;75573;4155;38496;18026;8932;347;2510;1999;156;258;694
Белорецк;88370;14464;64045;7354;194;540;965;152;30;207;419
Бирск;34735;2780;22143;6235;92;2904;251;22;103;63;142
Ишимбай;70175;16107;39617;10388;835;81;1039;398;18;385;1307
Кумертау;68143;9136;43721;8670;2889;72;2298;700;29;246;382
Мелеуз;53120;10632;29115;8556;2777;71;1132;364;10;91;372
Нефтекамск;114768;23662;39390;36075;591;11415;999;223;1519;251;643
Октябрьский;104536;9822;45595;38600;2384;1387;2345;1356;273;399;2375
Салават;150760;22858;84185;30212;3711;390;4144;1637;88;913;2622
Сибай;49412;20250;22348;5021;360;78;695;163;26;134;337
Стерлитамак;247736;27663;128849;60947;12200;950;8375;5267;206;777;2502
Туймазы;88355;12748;27550;41613;2047;1476;1290;418;52;229;932
Учалы;35330;14247;11602;8464;138;66;337;65;20;96;295
