districts;population;bashkirs;russians;tatars ;chuvashs ;mariis ;ukrainians;mordva;udmurts ;belarusians ;others
Абзелиловский;40793;31125;7327;1479;58;59;284;139;6;38;278
Альшеевский;61946;13965;16522;23716;1941;96;4565;346;25;196;574
Архангельский;28730;10572;12984;2688;961;30;114;9;12;700;660
Аскинский;34407;19829;7516;6705;20;191;37;3;43;17;46
Аургазинский;55005;5171;3555;25643;17564;57;1096;1821;10;11;77
Баймакский;60354;42663;12825;3731;292;41;270;309;10;21;192
Бакалинский;47394;5925;12051;25709;1767;1408;86;365;5;21;57
Балтачевский;38569;28902;1255;2161;13;5383;9;5;781;1;59
Белебеевский;28677;839;12110;5934;7125;667;1208;517;12;176;89
Белокатайский;27590;10558;15373;1385;63;24;71;18;10;24;64
Белорецкий;48415;22019;23720;2025;140;77;177;56;20;39;142
Бижбулякский;38401;3197;4589;12058;15035;18;322;2951;6;159;66
Бирский;27963;1508;15488;3367;34;7402;83;13;8;17;43
Благоварский;30045;13924;5630;6186;64;82;2004;39;3;88;2025
Благовещенский;41860;2362;30118;6185;112;2574;219;52;17;115;106
Буздякский;38638;13314;3886;20644;99;75;305;70;7;16;222
Бураевский;47293;29381;1672;12332;22;976;13;1;2603;2;291
Бурзянский;13855;12433;861;472;33;21;8;3;1;2;21
Гафурийский;55268;20507;16333;13145;4455;27;543;88;8;54;108
Давлекановский;47323;11595;17597;11076;1555;65;3472;965;9;309;680
Дуванский;34169;4843;23680;4367;64;86;101;913;21;37;57
Дюртюлинский;58900;19926;7514;25758;235;4945;212;60;33;52;165
Ермекеевский;26753;6537;3378;10048;4629;12;156;1245;687;4;57
Зианчуринский;33744;19094;9014;4219;776;17;152;93;1;19;359
Зилаирский;25807;9383;13543;1314;1131;14;204;83;67;21;45
Иглинский;57650;8902;28626;10192;2860;944;766;159;26;4443;732
Илишевский;48172;34173;1612;9951;43;1488;37;12;795;7;54
Ишимбайский;43690;27977;10649;2962;1572;32;73;63;10;292;60
Калтасинский;71836;18895;10848;11304;56;26417;104;20;4067;41;84
Караидельский;47935;14183;13243;17358;96;2861;64;24;23;16;67
Кармаскалинский;57344;12240;11389;25616;6051;11;614;1204;13;66;140
Кигинский;23425;7835;2403;12886;33;21;106;8;8;57;68
Кугарчинский;42353;17664;15783;6122;865;20;612;1104;11;21;151
Куюргазинский;35297;10216;14791;5105;3383;26;943;307;9;30;487
Кушнаренковский;36346;10260;6702;18606;52;68;67;31;478;20;62
Мелеузовский;63869;12840;38276;7118;2559;55;1583;740;9;82;607
Мечетлинский;28012;13739;5296;8702;43;118;52;10;2;13;37
Мишкинский;37375;1995;3426;8404;21;23422;36;6;4;4;57
Миякинский;39899;10785;3976;18344;5079;28;1489;79;6;39;74
Нуримановский;34288;9426;8387;12844;210;2881;215;32;26;171;96
Салаватский;32363;17006;5379;9566;57;35;101;136;7;17;59
Стерлибашевский;31977;7664;3234;19245;859;12;368;480;3;14;98
Стерлитамакский;43832;3407;17762;11692;5498;24;2521;2338;11;30;549
Татышлинский;35173;21607;1259;4409;22;519;22;5;7275;7;48
Туймазинский;47851;24405;5070;16048;1071;116;207;491;10;23;410
Уфимский;53136;1923;35669;11177;1198;182;1558;635;57;444;293
Учалинский;42795;31150;4657;6757;27;28;66;10;4;21;75
Федоровский;27426;3097;6558;8924;3393;23;759;4558;11;8;95
Хайбуллинский;33486;17590;11380;1692;549;72;1807;107;135;45;109
Чекмагушевский;45659;13870;1388;28212;1652;288;138;14;8;6;83
Чишминский;53933;5692;10683;31290;208;63;3634;1884;34;233;212
Шаранский;33496;4516;4647;13036;4164;6954;79;12;11;13;64
Янаульский;64266;25718;10412;14483;191;4473;185;30;8588;38;148
Уфа;770905;54368;475480;183326;6745;6219;19257;5276;719;5655;13860
Белебей;59072;2655;32886;13779;4573;184;2286;1758;158;267;526
Белорецк;84236;8512;65762;7609;206;569;879;155;38;199;307
Бирск;29607;1697;21151;4728;89;1382;246;37;45;72;160
Ишимбай;54232;8538;34652;7397;472;49;887;375;12;409;1441
Кумертау;49003;4892;33055;6229;1436;56;1966;833;21;196;319
Нефтекамск;63877;6105;32595;18547;469;3752;886;258;460;211;594
Октябрьский;77054;6167;38808;23327;1471;356;2320;1407;173;383;2642
Салават;113932;11206;72268;19794;2367;335;3858;1515;62;1006;1521
Сибай;38424;11983;20243;4482;304;166;719;140;30;171;186
Стерлитамак ;184894;11769;111410;40284;6873;501;7249;3773;93;799;2143
Туймазы;61482;8549;24577;23679;1479;477;1164;484;42;203;828
Учалы;26574;7286;11371;6934;154;64;371;71;19;72;232
