districts;population;bashkirs;russians;tatars ;chuvashs ;mariis ;ukrainians;mordva;udmurts ;belarusians ;others
Абзелиловский;37902;31053;4888;1299;40;43;222;104;7;18;228
Альшеевский;50627;13009;12253;19881;1417;54;3271;230;14;115;383
Архангельский;24688;9353;10728;2446;807;15;167;13;4;357;798
Аскинский;28452;17489;4576;6027;28;167;30;6;48;20;61
Аургазинский;47327;5010;2468;21979;15519;30;874;1327;5;9;106
Баймакский;55970;42568;9495;3039;174;22;270;154;11;12;225
Бакалинский;39302;6829;9153;20305;1471;1084;90;270;5;27;68
Балтачевский;32272;23793;951;1942;23;4560;123;6;827;6;41
Белебеевский;21253;808;8183;4639;5680;566;793;432;7;83;62
Белокатайский;24925;9678;13629;1302;69;34;109;8;6;20;70
Белорецкий;35248;19185;14272;1260;100;54;172;40;34;30;101
Бижбулякский;32543;3441;3282;10727;12323;23;237;2263;16;156;75
Бирский;23175;1229;11749;2950;19;7053;95;13;6;12;49
Благоварский;26148;11742;4515;6084;111;127;1585;26;8;64;1886
Благовещенский;44399;2943;30044;7181;209;3228;275;69;39;111;300
Буздякский;33904;10291;2966;19902;162;102;270;41;17;19;134
Бураевский;39204;28624;1063;6442;39;747;54;5;2151;2;77
Бурзянский;13886;12849;646;324;18;10;20;1;2;2;14
Гафурийский;43526;18309;10769;10301;3590;16;337;43;5;39;117
Давлекановский;41807;11105;15078;9679;1515;28;2922;688;0;256;536
Дуванский;30873;5048;20455;4237;66;93;100;751;23;32;68
Дюртюлинский;54965;21196;5552;23133;191;4489;154;40;38;29;143
Ермекеевский;22527;9108;2358;5582;3576;28;125;1029;653;6;62
Зианчуринский;30103;18430;6763;3827;588;17;125;59;9;9;276
Зилаирский;21558;9081;9817;829;1419;11;143;40;37;13;168
Иглинский;47967;8105;23249;9007;2470;689;486;137;25;3223;576
Илишевский;42605;33576;1281;5468;58;1469;40;15;646;4;48
Ишимбайский;33634;23312;6843;1882;1330;13;65;27;5;102;55
Калтасинский;32743;1662;6165;6203;53;15088;49;9;3437;25;52
Караидельский;38337;12530;9130;14155;101;2221;62;16;25;18;79
Кармаскалинский;49849;11138;8833;22887;5388;35;476;886;4;69;133
Кигинский;20654;7725;1552;11096;46;35;85;10;3;28;74
Краснокамский;34406;11270;5922;7872;41;8828;147;15;120;20;171
Кугарчинский;33990;15639;11508;5047;589;21;379;685;2;16;104
Куюргазинский;28627;9361;11018;4294;2804;19;616;191;3;18;303
Кушнаренковский;31800;12115;4995;14020;79;89;69;19;341;19;54
Мелеузовский;30281;9706;15066;3487;662;10;398;407;6;27;512
Мечетлинский;25406;12866;4900;7372;45;86;58;11;6;6;56
Мишкинский;32710;2611;2419;6191;26;21364;25;5;10;9;50
Миякинский;34172;11011;2835;15079;4055;29;963;45;5;31;119
Нуримановский;28077;8854;6157;10001;168;2566;148;20;8;86;69
Салаватский;28084;15542;3719;8460;57;36;54;75;7;13;121
Стерлибашевский;26653;7233;1965;16195;718;21;190;268;2;5;56
Стерлитамакский;32545;3880;12545;7346;4811;22;1861;1635;9;33;403
Татышлинский;30148;20298;698;2076;56;444;7;5;6511;3;50
Туймазинский;39273;24255;3457;9818;823;117;124;301;13;12;353
Уфимский;55029;3154;33870;13220;1328;292;1663;693;52;449;308
Учалинский;36962;28817;3595;4282;51;32;58;10;6;20;91
Федоровский;22963;3076;5174;7783;2760;8;512;3556;5;11;78
Хайбуллинский;30581;18087;8641;1674;497;113;1225;66;119;25;134
Чекмагушевский;39741;13558;1854;22361;1431;328;104;8;21;7;69
Чишминский;47819;5518;8748;28605;228;37;2856;1439;5;153;230
Шаранский;28885;7747;3229;8114;3444;6184;52;17;4;9;85
Янаульский;53722;24380;6947;10336;116;3885;71;19;7802;26;140
Уфа;967589;92148;562913;238341;10128;8669;25610;5910;1095;7637;15138
Белебей;66577;3344;35679;15786;6473;273;2399;1768;123;252;480
Белорецк;89550;11680;67832;7627;200;620;823;167;53;204;344
Бирск;30283;2178;20616;4925;89;1958;260;31;57;46;123
Ишимбай;56982;10614;35294;7525;535;38;936;370;10;387;1273
Кумертау;55627;5771;37792;6764;1790;80;2174;761;14;191;290
Мелеуз;38510;5131;23468;5752;2394;52;1132;366;16;71;128
Нефтекамск;75805;12736;31800;22968;418;5482;811;212;764;194;420
Октябрьский;88278;7883;41740;29210;1936;681;2284;1462;227;385;2470
Салават;137965;18015;79958;28351;3321;522;3846;1579;124;896;1353
Сибай;41979;15443;20502;4480;340;72;665;133;17;133;194
Стерлитамак;220462;21299;121492;52075;9536;796;7727;4384;179;760;2214
Туймазы;69542;10134;24845;29393;1668;814;1148;452;39;220;829
Учалы;30884;10307;11994;7601;127;54;350;57;14;103;277
