districts;population;bashkirs;russians;tatars ;chuvashs ;mariis ;ukrainians;mordva;udmurts ;belarusians ;others
Абзелиловский;43262;38061;3634;1025;41;29;128;65;15;26;238
Альшеевский;48398;17930;10661;16290;952;28;1774;159;13;70;521
Архангельский;20165;9276;7711;1860;549;14;66;14;4;174;497
Аскинский;23928;16959;2482;4212;12;111;15;2;27;17;91
Аургазинский;38996;6748;2257;16886;11740;31;586;458;1;15;274
Баймакский;44214;38795;3714;1241;86;26;44;45;10;8;245
Бакалинский;32327;6276;6889;16710;1049;928;99;166;6;20;184
Балтачевский;24695;17297;486;3636;2;2691;9;0;515;6;53
Белебеевский;17360;2314;6788;3306;3637;425;376;164;13;42;295
Белокатайский;22623;9836;11346;1124;36;16;82;10;11;21;141
Белорецкий;29087;18292;9344;1042;71;40;77;29;22;18;152
Бижбулякский;27999;6009;3095;7374;10004;17;114;1202;4;50;130
Бирский;19883;2665;8722;1360;33;6823;99;10;7;30;134
Благоварский;25770;12472;5108;5955;100;120;995;31;12;42;935
Благовещенский;15861;3132;8902;1643;52;1825;113;25;21;16;132
Буздякский;31178;12528;2218;15833;115;70;149;15;2;17;231
Бураевский;28320;23045;512;2689;7;494;18;0;1472;3;80
Бурзянский;16839;16277;354;159;15;3;5;0;1;2;23
Гафурийский;36761;18325;8293;6474;3013;23;220;31;8;15;359
Давлекановский;18278;8365;3875;3719;1191;27;505;171;0;50;375
Дуванский;32016;6457;20293;4249;49;51;116;526;10;16;249
Дюртюлинский;32988;16184;1790;11397;48;3286;32;4;16;13;218
Ермекеевский;18205;8428;1922;3699;2639;16;80;687;534;20;180
Зианчуринский;30091;21516;4671;3149;319;1;78;33;1;10;313
Зилаирский;18939;10555;7033;544;563;5;59;11;30;6;133
Иглинский;45392;15177;13659;3394;3432;753;1063;393;40;6629;852
Илишевский;36281;29217;698;4958;17;877;33;3;309;4;165
Ишимбайский;25610;18335;4293;1499;1189;10;87;21;4;46;126
Калтасинский;28881;3216;4926;4568;27;13166;64;14;2766;19;115
Караидельский;28294;12721;5729;8000;32;1612;51;4;12;11;122
Кармаскалинский;54585;23296;8767;15811;5238;51;295;586;10;54;477
Кигинский;19825;8192;1029;10306;13;36;45;8;5;8;183
Краснокамский;27552;9668;3954;6176;29;7319;81;9;105;22;189
Кугарчинский;34203;19280;9560;3519;637;24;399;460;8;62;254
Куюргазинский;25587;11033;8491;3501;1882;7;339;89;4;18;223
Кушнаренковский;29344;12703;4152;11641;40;69;53;6;299;33;348
Мелеузовский;26723;10948;10840;3111;672;9;294;158;9;20;662
Мечетлинский;25604;14961;4252;6052;13;51;54;5;7;6;203
Мишкинский;27099;1754;1779;4291;18;19137;30;0;6;6;78
Миякинский;31789;14126;1812;12116;3090;11;367;21;4;12;230
Нуримановский;21932;7526;4853;6863;91;2277;98;12;1;37;174
Салаватский;28516;19091;2807;6306;36;32;40;22;5;9;168
Стерлибашевский;22007;7321;1237;12505;589;4;120;68;0;15;148
Стерлитамакский;37699;8141;12893;8138;5190;39;1393;962;11;67;865
Татышлинский;26803;18770;413;1465;8;330;6;0;5738;3;70
Туймазинский;30923;18515;2684;8381;585;138;71;88;7;15;439
Уфимский;56351;7711;26293;17926;1357;351;916;594;53;189;961
Учалинский;35649;29842;2821;2728;22;16;52;4;7;23;134
Федоровский;19675;3476;4452;6527;2404;5;250;2332;3;11;215
Хайбуллинский;33072;25840;5949;473;216;14;357;40;30;9;144
Чекмагушевский;33031;11445;586;19510;1028;172;64;3;2;9;212
Чишминский;52663;9934;10918;27889;278;95;1780;980;25;100;664
Шаранский;24494;7614;2608;6675;2510;4936;39;12;7;1;92
Янаульский;22861;11305;1197;3043;12;2367;17;5;4754;6;155
Уфа;1049479;154928;530136;294399;10586;9616;17772;3975;811;5556;21700
Агидель;18721;7806;2771;6681;142;771;96;36;263;26;129
Баймак;17223;12015;3980;882;34;8;57;17;7;7;216
Белебей;85836;9427;40298;20282;10261;332;1978;1649;168;216;1225
Белорецк;85247;14775;60926;7122;144;463;591;105;42;146;933
Бирск;39992;4345;22802;7683;98;4268;236;17;107;40;396
Благовещенск;32989;6352;20977;3308;178;1404;218;46;39;72;395
Давлеканово;23860;5255;11241;4786;271;13;1430;258;5;98;503
Дюртюли;29984;6715;2908;19444;68;480;108;23;43;20;175
Ишимбай;70195;19964;36257;10436;756;65;760;254;26;235;1442
Кумертау;69792;11426;42975;9004;2781;52;1827;507;28;182;1010
Мелеуз;63217;17142;31540;9513;2689;81;1062;339;12;104;735
Нефтекамск;129740;36033;37773;39606;421;12173;847;159;1493;194;1041
Октябрьский;108647;14235;44382;40306;2105;1342;1807;1069;233;273;2895
Салават;158600;28062;87266;32214;3481;394;3069;1260;61;637;2156
Сибай;60144;29315;23282;5357;306;72;583;139;29;123;938
Стерлитамак;264362;41208;131479;60779;13997;541;6661;4964;110;621;4002
Туймазы;98544;24894;27310;40225;1787;1603;918;331;44;178;1254
Учалы;40145;21535;11318;6334;100;40;263;41;26;95;393
