districts;population;bashkirs;russians;tatars ;chuvashs ;mariis ;ukrainians;mordva;udmurts ;belarusians ;others
Абзелиловский;33128;22925;8090;1213;51;13;402;162;4;28;240
Альшеевский;71230;13752;22431;23121;281;20;9129;829;7;380;1280
Архангельский;49233;11941;25537;3999;1232;101;476;42;18;2457;3430
Аскинский;40199;16813;15758;7011;36;191;90;9;22;200;69
Аургазинский;56966;5192;4828;21866;18433;14;2895;3445;7;50;236
Байкибашевский;33631;5011;9763;16492;27;2132;112;10;5;28;51
Баймакский;58971;29677;21056;4494;309;23;1078;1123;11;52;1148
Бакалинский;59850;7416;22348;24951;2331;1392;270;692;12;39;399
Балтачевский;49097;11736;4776;26215;24;5032;121;14;1096;24;59
Белебеевский;71430;2466;42804;10382;6654;622;5621;1503;20;868;490
Белокатайский;34787;9708;23405;1074;20;92;139;22;5;40;282
Белорецкий;64557;14578;46384;2170;267;47;371;249;1;95;395
Бижбулякский;39587;1322;5686;5441;20073;9;966;5274;9;663;144
Бирский;68639;2814;53689;6749;136;4312;357;93;44;79;366
Благоварский;46493;4723;11395;21713;41;16;5405;99;8;563;2530
Благовещенский;39820;1924;33870;2504;23;897;180;38;5;180;199
Буздякский;51032;10933;6487;32311;120;34;706;229;14;58;140
Бузовьязовский;39957;1704;12330;21366;1070;11;2017;1356;3;36;64
Бураевский;58117;28123;6015;20393;25;872;146;35;2413;37;58
Бурзянский;9611;7969;1157;322;62;2;45;26;2;7;19
Воскресенский;25607;1552;22485;440;39;8;235;230;2;538;78
Давлекановский;54158;9601;19842;11371;1296;19;7545;2092;4;737;1651
Дуванский;36915;768;30383;3252;31;16;163;2165;6;38;93
Дюртюлинский;60574;18266;9202;27664;45;4893;163;25;42;42;232
Ермекеевский;43655;9302;10474;13206;6033;10;1324;2218;831;88;169
Зианчуринский;34268;14774;13655;3315;1086;7;386;458;0;23;564
Зилаирский;30648;707;25477;1163;1760;9;986;297;6;37;206
Иглинский;57484;3687;32732;7794;2666;139;1044;154;9;7475;1784
Илишевский;60173;32591;4638;19801;75;1210;191;42;1410;33;182
Ишимбайский;37662;7041;20576;7078;924;29;559;852;3;358;242
Калтасинский;47011;5167;13519;5597;36;18666;123;23;3800;20;60
Кандринский;33996;14731;3657;14567;261;40;602;45;3;27;63
Караидельский;24864;7140;14397;2104;258;720;120;29;12;29;55
Кармаскалинский;47644;10653;10878;20612;4378;13;527;346;4;154;79
Кигинский;27896;9287;6012;11750;34;10;344;19;6;190;244
Краснокамский;41557;16300;14432;3584;25;6890;123;18;68;42;75
Гафурийский;64562;19588;25375;13673;3605;21;1652;121;6;47;474
Кугарчинский;30249;7416;15330;3339;713;7;395;2373;4;22;650
Кушнаренковский;63141;9088;19236;33095;47;49;401;89;687;51;398
Куюргазинский;44998;9563;21840;5431;2750;12;2176;1222;4;34;1966
Макаровский;42367;19271;13991;6393;1291;15;241;126;14;852;173
Малоязовский;32516;13882;8108;9882;41;7;133;273;7;26;157
Матраевский;12984;8764;2633;233;115;5;781;244;1;10;198
Мелеузовский;44070;4371;30726;3532;1504;9;2116;1566;3;25;218
Мечетлинский;29111;14392;6484;7988;23;56;83;16;5;19;45
Мишкинский;48838;2759;10219;11852;24;23680;127;15;28;54;80
Миякинский;51764;13694;9196;18837;4777;16;4162;650;4;110;318
Нуримановский;62249;13237;19683;19044;301;3503;1219;287;11;4103;861
Покровский;25030;346;20830;2968;11;706;84;24;3;32;26
Стерлибашевский;39526;6999;9219;19397;785;8;1179;1566;4;52;317
Стерлитамакский;59245;2558;36664;7548;4196;16;5151;2592;7;60;453
Татышлинский;37325;21189;4239;4814;15;540;96;7;6356;19;50
Туймазинский;53846;13715;16981;18825;986;60;575;1935;52;53;664
Уфимский;64574;1055;52469;5035;616;103;3392;1149;22;319;414
Учалинский;52416;20909;14457;16094;33;24;286;77;5;32;499
Федоровский;37477;2324;13887;7656;3718;8;2298;7320;6;31;229
Хайбуллинский;23856;9890;8834;640;273;9;3375;380;12;18;425
Чекмагушевский;57200;17263;1923;35337;1871;273;398;19;8;26;82
Чишминский;64973;5726;13469;34561;97;27;7144;3260;11;285;393
Шаранский;51981;6899;13690;17702;5787;7549;164;48;1;34;107
Юмагузинский;28661;10011;10595;3718;767;7;1490;1868;3;17;185
Янаульский;66200;25266;13981;14053;225;4312;387;57;7713;90;116
