districts;population;bashkirs;russians;tatars ;chuvashs ;mariis ;ukrainians;mordva;udmurts ;belarusians ;others
Абзелиловский;45300;41209;3115;479;21;15;42;18;11;13;377
Альшеевский;36799;14717;9588;10717;412;22;271;51;6;7;1008
Архангельский;17179;8108;6796;1434;285;10;4;4;2;57;479
Аскинский;18235;13256;1965;2770;12;62;4;1;17;0;148
Аургазинский;31446;6421;2620;12726;8450;18;193;361;5;2;650
Баймакский;54946;48169;5398;894;40;12;22;13;4;3;391
Бакалинский;25682;4527;6076;13207;710;711;25;92;6;9;319
Балтачевский;18594;9590;466;6466;3;1721;9;1;249;1;88
Белебеевский;96731;11265;46012;22294;11573;739;989;1102;148;105;2504
Белокатайский;17992;8479;8750;537;16;7;22;7;7;7;160
Белорецкий;99074;33674;58325;4750;76;192;219;41;21;43;1733
Бижбулякский;22134;4032;2581;6642;7670;8;48;859;4;21;269
Бирский;61652;7708;31594;9858;56;11348;99;14;69;19;887
Благоварский;24699;12414;5178;6200;34;45;153;7;9;5;654
Благовещенский;49596;8809;29795;7278;142;2522;120;24;49;26;831
Буздякский;26284;8872;2294;14569;78;43;58;6;0;11;353
Бураевский;21828;15277;492;4687;3;357;17;1;811;1;182
Бурзянский;17582;17201;264;68;3;1;3;0;1;0;41
Гафурийский;30781;16234;6924;5322;1764;7;58;13;3;12;444
Давлекановский;37147;13334;14185;6748;1202;26;504;153;4;41;950
Дуванский;30942;6490;19458;4022;40;37;44;293;10;7;541
Дюртюлинский;60256;21082;4481;29670;54;2927;44;7;41;7;1943
Ермекеевский;15259;4729;1782;5483;2069;13;31;354;453;3;342
Зианчуринский;24522;17690;3578;2876;109;1;13;5;1;2;247
Зилаирский;15087;8844;5275;406;353;1;20;2;13;5;168
Иглинский;69594;22516;30038;9618;2092;583;392;100;48;1069;3138
Илишевский;31219;24496;430;5224;13;684;8;0;157;1;206
Ишимбайский;85483;37669;34313;10343;1288;42;197;84;13;49;1485
Калтасинский;22168;2755;4652;3448;7;9153;20;3;1891;1;238
Караидельский;24225;11990;5049;5719;18;1165;30;2;12;2;238
Кармаскалинский;52715;23676;8779;14757;4047;41;77;346;3;32;957
Кигинский;16905;6652;1061;8922;6;17;15;2;2;4;224
Краснокамский;26145;8241;4600;5986;32;6757;36;3;76;10;404
Кугарчинский;27489;16218;7898;2800;169;10;31;48;4;5;306
Куюргазинский;27210;9527;4724;12029;31;43;13;6;214;6;617
Кушнаренковский;21254;9744;7213;2680;1184;2;63;15;1;2;350
Мелеузовский;81876;26811;38850;11114;1856;34;412;168;13;43;2575
Мечетлинский;22633;14781;3823;3782;6;15;18;1;1;0;206
Мишкинский;21987;1126;1506;3265;23;14618;11;2;6;4;1426
Миякинский;24272;10557;1697;9498;2102;9;71;6;2;1;329
Нуримановский;20523;7825;5386;5105;42;1807;24;0;2;9;323
Салаватский;24273;16855;2510;4593;16;21;11;2;4;1;260
Стерлибашевский;17369;6081;1181;9547;345;2;30;22;0;5;156
Стерлитамакский;48044;11847;18983;11062;3611;49;474;648;14;26;1330
Татышлинский;21718;15070;425;1476;2;230;4;0;4392;0;119
Туймазинский;131728;50254;29360;46983;1294;1182;239;101;19;74;2222
Уфимский;111237;24069;44868;32201;795;387;337;156;39;74;8311
Учалинский;70171;48021;12649;8211;53;31;94;17;12;46;1037
Федоровский;16234;3536;3977;5159;1775;5;43;1544;0;3;192
Хайбуллинский;30705;25394;4446;379;132;13;74;19;11;5;232
Чекмагушевский;28631;9943;758;16720;740;128;18;1;2;0;321
Чишминский;51295;10916;12468;25548;135;51;403;502;12;21;1239
Шаранский;19795;4509;2712;7105;1786;3315;23;7;1;3;334
Янаульский;43593;19261;5011;10595;25;2473;38;1;5627;9;553
Уфа;1167775;233128;557492;308381;5818;5561;4543;931;502;1299;50120
Агидель;14219;3917;2799;6502;72;496;34;16;148;11;224
Кумертау;61933;12745;39066;6035;1491;22;387;126;15;37;2009
Нефтекамск;142879;37214;41029;45057;166;13799;290;55;1691;51;3527
Октябрьский;115557;16054;47313;43044;1351;953;539;379;88;79;5757
Салават;148575;35621;75223;28270;2121;203;726;456;123;160;5672
Сибай;57140;32634;18799;2689;97;22;123;28;11;22;2715
Стерлитамак;277410;49846;142153;59713;9998;199;1873;1719;42;145;11722
